"","BARRIO","FECHA","A�O_2018_PRED"
"474","Barrio Colón",2018-12-09,2.17948717948718
"475","Barrio Colón",2018-12-10,2.01538461538462
"476","Barrio Colón",2018-12-11,1.72151898734177
"477","Barrio Colón",2018-12-13,1.86111111111111
"478","Barrio Colón",2018-12-15,2.34259259259259
"479","Barrio Colón",2018-12-18,1.85314685314685
"480","Barrio Colón",2018-12-19,2.1404958677686
"481","Barrio Colón",2018-12-20,2.25619834710744
"482","Barrio Colón",2018-12-21,1.86206896551724
"483","Barrio Colón",2018-12-23,1.92452830188679
"484","Barrio Colón",2018-12-24,1.86206896551724
"485","Barrio Colón",2018-12-26,1.40789473684211
"486","Barrio Colón",2018-12-28,1.51923076923077
"487","Barrio Colón",2018-12-30,2.21710526315789
"488","Barrio Colombia",2018-01-05,1.53308128544423
"489","Barrio Colombia",2018-01-10,1.65886287625418
"490","Barrio Colombia",2018-01-17,1.37707948243993
"491","Barrio Colombia",2018-01-23,1.37707948243993
"492","Barrio Colombia",2018-01-24,1.42
"493","Barrio Colombia",2018-01-25,1.61818181818182
"494","Barrio Colombia",2018-01-27,1.5546218487395
"495","Barrio Colombia",2018-02-01,1.42
"496","Barrio Colombia",2018-02-03,1.62244897959184
"497","Barrio Colombia",2018-02-06,1.75328083989501
"498","Barrio Colombia",2018-02-13,1.55417956656347
"499","Barrio Colombia",2018-02-15,1.29501915708812
"500","Barrio Colombia",2018-02-16,1.46534653465347
"501","Barrio Colombia",2018-02-17,1.33213644524237
"502","Barrio Colombia",2018-02-22,1.86206896551724
"503","Barrio Colombia",2018-02-28,1.61818181818182
"504","Barrio Colombia",2018-04-03,1.42
"505","Barrio Colombia",2018-04-12,1.44578313253012
"506","Barrio Colombia",2018-04-17,1.29501915708812
"507","Barrio Colombia",2018-04-28,1.5546218487395
"508","Barrio Colombia",2018-05-04,1.53308128544423
"509","Barrio Colombia",2018-05-06,1.33213644524237
"510","Barrio Colombia",2018-05-11,1.5068306010929
"511","Barrio Colombia",2018-05-12,1.62244897959184
"512","Barrio Colombia",2018-05-15,1.35862068965517
"513","Barrio Colombia",2018-05-16,1.33213644524237
"514","Barrio Colombia",2018-05-23,1.984
"515","Barrio Colombia",2018-05-27,1.8952380952381
"516","Barrio Colombia",2018-06-13,1.37707948243993
"517","Barrio Colombia",2018-06-27,1.65137614678899
"518","Barrio Colombia",2018-07-07,1.37707948243993
"519","Barrio Colombia",2018-07-13,1.57943925233645
"520","Barrio Colombia",2018-07-18,1.4375
"521","Barrio Colombia",2018-07-30,1.44578313253012
"522","Barrio Colombia",2018-08-04,1.43214285714286
"523","Barrio Colombia",2018-08-14,1.4375
"524","Barrio Colombia",2018-08-16,1.67159763313609
"525","Barrio Colombia",2018-08-28,1.68449931412894
"526","Barrio Colombia",2018-09-01,1.50955414012739
"527","Barrio Colombia",2018-09-05,1.75985663082437
"528","Barrio Colombia",2018-09-06,1.57963446475196
"529","Barrio Colombia",2018-09-07,1.40789473684211
"530","Barrio Colombia",2018-09-09,1.37707948243993
"531","Barrio Colombia",2018-09-11,1.45011086474501
"532","Barrio Colombia",2018-09-19,1.87076923076923
