"","SEMANA","COMUNA","A�O_2018_PRED"
"486","20","Manrique",23.354079636576
"487","20","Popular",9.32188400199499
"488","20","Robledo",56.9655503751123
"489","20","San Javier",14.2131171279488
"490","20","Santa Cruz",10.3273052490716
"491","20","Villa Hermosa",18.4405457293376
"492","21","",2.50635058005884
"493","21","Aranjuez",47.5001591168184
"494","21","Belén",48.3633556298774
"495","21","Buenos Aires",26.5104646626498
"496","21","Castilla",62.8562907829318
"497","21","Corregimiento de Altavista",1.34763318441372
"498","21","Corregimiento de San Antonio de Prado",7.53672179134729
"499","21","Corregimiento de San Cristóbal",9.59609003094172
"500","21","Corregimiento de Santa Elena",2.22782493243206
"501","21","Doce de Octubre",18.4064462667846
"502","21","El Poblado",65.012353759831
"503","21","Guayabal",49.5249990365052
"504","21","In",1.45880534558588
"505","21","La América",22.1676892373116
"506","21","La Candelaria",133.850901436297
"507","21","Laureles Estadio",78.6484890569501
"508","21","Manrique",23.7188560512334
"509","21","Popular",11.5681721846723
"510","21","Robledo",49.3950697372966
"511","21","San Javier",14.6303065375082
"512","21","Santa Cruz",11.8889874149467
"513","21","Villa Hermosa",18.1766761191057
"514","22","",3.44642474597507
"515","22","Aranjuez",45.3037634879894
"516","22","AU",0.252873563218391
"517","22","Belén",52.4743054517857
"518","22","Buenos Aires",33.1732380123543
"519","22","Castilla",70.2498797662837
"520","22","Corregimiento de Altavista",1.79513282458568
"521","22","Corregimiento de San Antonio de Prado",10.2753187294169
"522","22","Corregimiento de San Cristóbal",7.38583547485377
"523","22","Corregimiento de Santa Elena",3.52094154415367
"524","22","Doce de Octubre",25.1010874788534
"525","22","El Poblado",67.8395120029804
"526","22","Guayabal",50.1774963567786
"527","22","In",0.71634432064888
"528","22","La América",27.2506058307356
"529","22","La Candelaria",149.74101010101
"530","22","Laureles Estadio",74.7852962514984
"531","22","Manrique",23.1781260763585
"532","22","Popular",10.628973936247
"533","22","Robledo",49.1393931745952
"534","22","San Javier",15.0452388247265
"535","22","Santa Cruz",11.2087764380047
"536","22","Villa Hermosa",21.285416846456
"537","23","",2.20937449526971
"538","23","Aranjuez",48.306977742022
"539","23","Belén",55.2421217369386
"540","23","Buenos Aires",29.7142280612797
"541","23","Castilla",71.4372891620803
"542","23","Corregimiento de Altavista",2.89172976883751
"543","23","Corregimiento de San Antonio de Prado",7.85836683768998
"544","23","Corregimiento de San Cristóbal",7.92941176860599
"545","23","Corregimiento de Santa Elena",2.91823330923114
"546","23","Doce de Octubre",19.9625595103612
